cluster_id,cluster_name,team_season_count,strongest_positive_features,strongest_negative_features,feature_profile
0,Shooting Pressure Team,60,offensive_rebounding_percentage; three_point_attempt_rate; net_rating,defensive_rebounding_percentage; turnover_rate; free_throw_rate,offensive_rebounding_percentage=0.92; defensive_rebounding_percentage=-0.61; three_point_attempt_rate=0.61; net_rating=0.53; defensive_rating=0.47; three_point_percentage=0.30
1,Shooting Pressure Team,95,three_point_percentage; net_rating; defensive_rebounding_percentage,turnover_rate; offensive_rebounding_percentage; free_throw_rate,three_point_percentage=0.75; turnover_rate=-0.68; net_rating=0.66; offensive_rebounding_percentage=-0.61; defensive_rebounding_percentage=0.46; three_point_attempt_rate=0.40
2,Defense First Team,74,free_throw_rate; defensive_rebounding_percentage; net_rating,three_point_attempt_rate; defensive_rating; pace,three_point_attempt_rate=-1.05; defensive_rating=-1.05; pace=-0.83; free_throw_rate=0.67; defensive_rebounding_percentage=0.45; net_rating=0.30
3,Balanced Two Way Team,59,turnover_rate; pace; defensive_rebounding_percentage,net_rating; three_point_percentage; three_point_attempt_rate,net_rating=-0.98; three_point_percentage=-0.93; turnover_rate=0.45; three_point_attempt_rate=-0.38; offensive_rebounding_percentage=-0.35; pace=0.19
4,Shooting Pressure Team,42,defensive_rating; turnover_rate; three_point_attempt_rate,net_rating; defensive_rebounding_percentage; three_point_percentage,defensive_rating=1.48; net_rating=-1.39; defensive_rebounding_percentage=-1.18; turnover_rate=0.81; three_point_percentage=-0.71; three_point_attempt_rate=0.62
